,implementation,preprocess,mean_type,distance,threshold,f1,accuracy
408,USE,lower,median,l1,8.18595668247768,0.43610657966286,0.942420877290394
219,USE,lower_clean,median,l2,0.493885037880069,0.435536294691224,0.942143253747918
475,USE,lower,median,l2,0.498428941884692,0.433982683982684,0.941921154913937
664,USE,none,median,l1,8.14364042736235,0.430365920262152,0.942087729039422
92,USE,lower_clean,mean,l2,0.505457819060305,0.429347826086956,0.941699056079956
348,USE,lower,mean,l2,0.511177401459301,0.427795874049946,0.941476957245974
237,USE,lower_clean,median,l2,0.823141729800115,0.426448170731707,0.832870627429206
604,USE,none,mean,l2,0.517187853312186,0.426016260162602,0.941199333703498
363,USE,lower,mean,l2,0.785022437955355,0.424866654405003,0.826374236535258
172,USE,lower_clean,median,l1,14.9306948222811,0.424721523535753,0.822209883398112
731,USE,none,median,l2,0.500344965131039,0.424143556280587,0.941199333703498
27,USE,lower_clean,mean,l1,9.03080667768206,0.421739130434783,0.940921710161022
682,USE,none,median,l1,14.2513707478841,0.41955490696826,0.823320377568018
151,USE,lower_clean,median,l1,7.80468138437422,0.419016030956329,0.94164353137146
283,USE,lower,mean,l1,9.118040902274,0.418933623503808,0.94069961132704
218,USE,lower_clean,median,l2,0.475592999440066,0.41832229580574,0.941476957245974
298,USE,lower,mean,l1,14.1836191813151,0.416864391312283,0.822598556357579
539,USE,none,mean,l1,9.13591575622559,0.414620840152755,0.940421987784564
554,USE,none,mean,l1,14.2114245096842,0.414368650217707,0.820766240977235
474,USE,lower,median,l2,0.479968610703778,0.41257584114727,0.940866185452526
407,USE,lower,median,l1,7.84487515404111,0.408888888888889,0.940921710161022
426,USE,lower,median,l1,14.3254241943359,0.408841732979664,0.814380899500278
730,USE,none,median,l2,0.481813670126186,0.408185840707965,0.94058856191005
619,USE,none,mean,l2,0.794252774729428,0.403536141445658,0.80893947806774
91,USE,lower_clean,mean,l2,0.487405754093865,0.402662229617305,0.940199888950583
491,USE,lower,median,l2,0.793794240779325,0.401937046004843,0.821710161021655
110,USE,lower_clean,mean,l2,0.830394988456214,0.401530272787758,0.800222098833981
347,USE,lower,mean,l2,0.492921065692897,0.399777901166019,0.939977790116602
26,USE,lower_clean,mean,l1,8.69633235628643,0.399334442595674,0.939866740699611
663,USE,none,median,l1,7.80432207622225,0.399105645612074,0.940310938367574
45,USE,lower_clean,mean,l1,15.0513444628034,0.398272712174057,0.798833981121599
603,USE,none,mean,l2,0.498716858551036,0.397107897664071,0.939811215991116
747,USE,none,median,l2,0.796845685208691,0.396025027603975,0.81776790671849
150,USE,lower_clean,median,l1,7.46534741114056,0.395033860045147,0.940477512493059
217,USE,lower_clean,median,l2,0.457300961000064,0.390765765765766,0.939922265408107
282,USE,lower,mean,l1,8.78033568367125,0.389972144846797,0.939200444197668
406,USE,lower,median,l1,7.50379362560454,0.38343732274532,0.93964464186563
538,USE,none,mean,l1,8.79754850599501,0.38276440962507,0.938756246529706
364,USE,lower,mean,l2,0.803278773721758,0.382653889881436,0.788950583009439
238,USE,lower_clean,median,l2,0.841433768240117,0.380151387720774,0.795391449194892
90,USE,lower_clean,mean,l2,0.469353689127426,0.379388448471121,0.939144919489173
473,USE,lower,median,l2,0.461508279522863,0.378959276018099,0.939033870072182
729,USE,none,median,l2,0.463282375121332,0.378745053702657,0.938978345363687
173,USE,lower_clean,median,l1,15.2700287955148,0.378523915109281,0.78212104386452
683,USE,none,median,l1,14.5906890990242,0.377701934015927,0.787395891171571
602,USE,none,mean,l2,0.480245863789887,0.376203966005666,0.938867295946696
662,USE,none,median,l1,7.46500372508216,0.375356531660011,0.939200444197668
25,USE,lower_clean,mean,l1,8.3618580348908,0.374929418407679,0.938534147695725
299,USE,lower,mean,l1,14.5213243999178,0.374212312166747,0.784952803997779
149,USE,lower_clean,median,l1,7.1260134379069,0.372413793103448,0.939367018323154
555,USE,none,mean,l1,14.5497917599148,0.37031099711446,0.781898945030539
427,USE,lower,median,l1,14.6665057227725,0.369585836231426,0.778567462520822
346,USE,lower,mean,l2,0.474664729926494,0.367579908675799,0.938478622987229
281,USE,lower,mean,l1,8.44263046506851,0.366951566951567,0.938312048861743
537,USE,none,mean,l1,8.45918125576443,0.366533864541833,0.938200999444753
492,USE,lower,median,l2,0.812254571960239,0.363757052771324,0.787118267629095
148,USE,lower_clean,median,l1,6.78667946467324,0.356976744186046,0.93858967240422
748,USE,none,median,l2,0.815376980213545,0.355923939541687,0.779955580233204
620,USE,none,mean,l2,0.812723769490578,0.355415352260778,0.761743475846752
405,USE,lower,median,l1,7.16271209716797,0.354782608695652,0.938200999444753
216,USE,lower_clean,median,l2,0.439008922560061,0.354503464203233,0.937923375902276
111,USE,lower_clean,mean,l2,0.848447053422654,0.354224225679802,0.75341476957246
661,USE,none,median,l1,7.12568537394206,0.353282975014526,0.938200999444753
46,USE,lower_clean,mean,l1,15.3858187841991,0.351269035532995,0.751637978900611
472,USE,lower,median,l2,0.443047948341949,0.350086655112652,0.93753470294281
728,USE,none,median,l2,0.444751080116479,0.349132947976879,0.937479178234314
89,USE,lower_clean,mean,l2,0.451301624160986,0.346666666666667,0.937423653525819
24,USE,lower_clean,mean,l1,8.02738371349516,0.345307068366165,0.937257079400333
601,USE,none,mean,l2,0.461774869028737,0.341094295692666,0.937146029983343
239,USE,lower_clean,median,l2,0.85972580668012,0.340793792897642,0.754691837867851
174,USE,lower_clean,median,l1,15.6093627687485,0.338591549295775,0.739255968906163
365,USE,lower,mean,l2,0.821535109488162,0.337230595858572,0.738756246529706
684,USE,none,median,l1,14.9300074501643,0.337207633806859,0.7435313714603
404,USE,lower,median,l1,6.8216305687314,0.336668628605062,0.937423653525819
345,USE,lower,mean,l2,0.45640839416009,0.336645236703682,0.936979455857857
280,USE,lower,mean,l1,8.10492524646577,0.33469387755102,0.936646307606885
536,USE,none,mean,l1,8.12081400553385,0.33469387755102,0.936646307606885
300,USE,lower,mean,l1,14.8590296185206,0.334041648958776,0.738978345363687
660,USE,none,median,l1,6.78636702280196,0.331955109273479,0.937201554691838
556,USE,none,mean,l1,14.8881590101454,0.329556581340048,0.733870072182121
215,USE,lower_clean,median,l2,0.420716884120059,0.329009433962264,0.936812881732371
428,USE,lower,median,l1,15.0075872512091,0.328557518430936,0.731982232093282
727,USE,none,median,l2,0.426219785111626,0.327058823529412,0.936479733481399
493,USE,lower,median,l2,0.830714903141154,0.322890864053621,0.741976679622432
471,USE,lower,median,l2,0.424587617161034,0.322504430005907,0.936313159355913
147,USE,lower_clean,median,l1,6.44734549143958,0.313960455362492,0.936424208772904
749,USE,none,median,l2,0.833908275218398,0.313953488372093,0.731371460299833
600,USE,none,mean,l2,0.443303874267588,0.31353919239905,0.935813436979456
47,USE,lower_clean,mean,l1,15.7202931055947,0.312740322994104,0.702276513048307
621,USE,none,mean,l2,0.831194764251727,0.311793004810818,0.706107717934481
214,USE,lower_clean,median,l2,0.402424845680056,0.311641791044776,0.935980011104942
112,USE,lower_clean,mean,l2,0.866499118389093,0.311473322297211,0.699777901166019
344,USE,lower,mean,l2,0.438152058393686,0.308700834326579,0.935591338145475
240,USE,lower_clean,median,l2,0.878017845120123,0.306956983536909,0.710161021654636
23,USE,lower_clean,mean,l1,7.69290939209953,0.306134603930911,0.935313714602998
88,USE,lower_clean,mean,l2,0.433249559194547,0.306037059175134,0.935535813436979
726,USE,none,median,l2,0.407688490106772,0.303357314148681,0.935480288728484
403,USE,lower,median,l1,6.48054904029483,0.302957151478576,0.935868961687951
175,USE,lower_clean,median,l1,15.9486967419821,0.302409788987389,0.689783453636868
279,USE,lower,mean,l1,7.76722002786303,0.302270011947431,0.935147140477512
535,USE,none,mean,l1,7.78244675530328,0.302089552238806,0.935091615769017
470,USE,lower,median,l2,0.40612728598012,0.299458809380637,0.935313714602998
685,USE,none,median,l1,15.2693258013044,0.297439759036145,0.68917268184342
366,USE,lower,mean,l2,0.839791445254566,0.296287219703468,0.681121599111605
659,USE,none,median,l1,6.44704867166186,0.294724075197089,0.935424764019989
301,USE,lower,mean,l1,15.1967348371233,0.294117647058824,0.682842865074958
429,USE,lower,median,l1,15.3486687796456,0.291676896636386,0.679622431982232
146,USE,lower_clean,median,l1,6.10801151820592,0.290420988407566,0.935424764019989
557,USE,none,mean,l1,15.226526260376,0.289051094890511,0.675513603553581
213,USE,lower_clean,median,l2,0.384132807240054,0.289010321797207,0.934980566352026
494,USE,lower,median,l2,0.849175234322068,0.288857618012025,0.691338145474736
87,USE,lower_clean,mean,l2,0.415197494228107,0.287272727272727,0.93470294280955
599,USE,none,mean,l2,0.424832879506438,0.285887341005451,0.934536368684064
750,USE,none,median,l2,0.852439570223251,0.280868046894488,0.679844530816213
22,USE,lower_clean,mean,l1,7.3584350707039,0.279295689131755,0.934092171016102
278,USE,lower,mean,l1,7.42951480926029,0.278250303766707,0.934036646307607
469,USE,lower,median,l2,0.387666954799205,0.276791181873852,0.934425319267074
343,USE,lower,mean,l2,0.419895722627283,0.27666057282145,0.934092171016102
534,USE,none,mean,l1,7.4440795050727,0.276155717761557,0.933925596890616
48,USE,lower_clean,mean,l1,16.0547674269903,0.275636691458192,0.643087173792338
725,USE,none,median,l2,0.389157195101919,0.275229357798165,0.934203220433093
622,USE,none,mean,l2,0.849665759012877,0.274643099932019,0.644530816213215
113,USE,lower_clean,mean,l2,0.884551183355533,0.272042534337616,0.635091615769017
241,USE,lower_clean,median,l2,0.896309883560125,0.271498485201585,0.652859522487507
176,USE,lower_clean,median,l1,16.2880307152158,0.268762452955501,0.633203775680178
686,USE,none,median,l1,15.6086441524445,0.267697132616487,0.636979455857857
402,USE,lower,median,l1,6.13946751185826,0.267492260061919,0.934314269850083
658,USE,none,median,l1,6.10773032052176,0.267492260061919,0.934314269850083
21,USE,lower_clean,mean,l1,7.02396074930827,0.263384615384615,0.933536923931149
145,USE,lower_clean,median,l1,5.76867754497225,0.262928348909657,0.934314269850083
86,USE,lower_clean,mean,l2,0.397145429261668,0.262476894639556,0.933536923931149
430,USE,lower,median,l1,15.6897503080822,0.262151829601311,0.624930594114381
367,USE,lower,mean,l2,0.858047781020969,0.262104583602324,0.619211549139367
302,USE,lower,mean,l1,15.5344400557261,0.262044909526924,0.624097723486952
495,USE,lower,median,l2,0.867635565502983,0.258901148902286,0.638256524153248
558,USE,none,mean,l1,15.5648935106066,0.257262300353736,0.615269294836202
212,USE,lower_clean,median,l2,0.365840768800051,0.253416149068323,0.933259300388673
751,USE,none,median,l2,0.870970865228104,0.252530871064635,0.626929483620211
277,USE,lower,mean,l1,7.09180959065755,0.252475247524752,0.932926152137701
598,USE,none,mean,l2,0.406361884745289,0.251704897706138,0.932981676846197
533,USE,none,mean,l1,7.10571225484212,0.24922504649721,0.932759578012215
342,USE,lower,mean,l2,0.401639386860879,0.247358607830951,0.932759578012215
49,USE,lower_clean,mean,l1,16.389241748386,0.243984887651621,0.577790116601888
623,USE,none,mean,l2,0.868136753774026,0.243483471487067,0.579400333148251
242,USE,lower_clean,median,l2,0.914601922000128,0.24215432418436,0.593725707940033
20,USE,lower_clean,mean,l1,6.68948642791264,0.242046163443543,0.932537479178234
177,USE,lower_clean,median,l1,16.6273646884494,0.241037829273123,0.574458634092171
687,USE,none,median,l1,15.9479625035846,0.240898605957276,0.579733481399223
657,USE,none,median,l1,5.76841196938167,0.240354206198608,0.933314825097168
85,USE,lower_clean,mean,l2,0.379093364295228,0.239198497182217,0.932537479178234
401,USE,lower,median,l1,5.79838598342169,0.239089184060721,0.933203775680178
114,USE,lower_clean,mean,l2,0.902603248321972,0.238797284190107,0.564242087729039
468,USE,lower,median,l2,0.369206623618291,0.238393977415307,0.93259300388673
724,USE,none,median,l2,0.370625900097066,0.237139272271016,0.932481954469739
431,USE,lower,median,l1,16.0308318365188,0.236262121657361,0.567073847862299
144,USE,lower_clean,median,l1,5.42934357173859,0.23574144486692,0.933037201554692
303,USE,lower,mean,l1,15.8721452743288,0.235179786200194,0.563020544142143
368,USE,lower,mean,l2,0.876304116787373,0.23399179311003,0.554303164908384
496,USE,lower,median,l2,0.886095896683897,0.232189973614776,0.579900055524708
559,USE,none,mean,l1,15.9032607608371,0.23098268108315,0.553747917823432
276,USE,lower,mean,l1,6.75410437205481,0.230043997485858,0.931982232093282
341,USE,lower,mean,l2,0.383383051094476,0.227129337539432,0.931982232093282
597,USE,none,mean,l2,0.387890889984139,0.226986128625473,0.931926707384786
532,USE,none,mean,l1,6.76734500461155,0.226557583385777,0.9317601332593
752,USE,none,median,l2,0.889502160232958,0.226388888888889,0.567018323153803
211,USE,lower_clean,median,l2,0.347548730360048,0.222222222222222,0.931982232093282
688,USE,none,median,l1,16.2872808547247,0.21969213953912,0.524319822320933
624,USE,none,mean,l2,0.886607748535175,0.217677396407612,0.511493614658523
243,USE,lower_clean,median,l2,0.93289396044013,0.216465382133309,0.528095502498612
50,USE,lower_clean,mean,l1,16.7237160697816,0.216335152261926,0.505607995558023
178,USE,lower_clean,median,l1,16.9666986616831,0.216288147622427,0.509494725152693
